ts_utc,season,week,game_date,slot,player_id,stat,venue,line,yes_ask,model_probability,implied_probability,edge_at_ask,spread,depth
2026-09-10T23:33:43+00:00,2026,1,2026-09-10,1,00-0033288,rec_yd,kalshi,40.0,0.4,0.5685336594264503,0.39,0.16853365942645027,0.02,3666.15
2026-09-10T23:33:43+00:00,2026,1,2026-09-10,2,00-0033288,receptions,kalshi,4.0,0.43,0.5934855175129589,0.425,0.16348551751295887,0.01,11720.43
2026-09-10T23:33:43+00:00,2026,1,2026-09-10,3,00-0036244,rec_yd,kalshi,25.0,0.37,0.5261214036936124,0.365,0.15612140369361238,0.01,7063.36
2026-09-10T23:33:43+00:00,2026,1,2026-09-10,4,00-0036244,receptions,kalshi,4.0,0.22,0.32264410275971606,0.215,0.10264410275971605,0.01,4868.35
2026-09-10T23:33:43+00:00,2026,1,2026-09-10,5,00-0035719,rec_yd,kalshi,40.0,0.35,0.4430305977334127,0.345,0.09303059773341271,0.01,6828.73
2026-09-10T23:33:43+00:00,2026,1,2026-09-10,6,00-0033110,rec_yd,kalshi,25.0,0.34,0.432299548588187,0.33,0.09229954858818695,0.02,8738.43
2026-09-10T23:33:43+00:00,2026,1,2026-09-10,7,00-0033280,rush_yd,kalshi,70.0,0.37,0.45643996247392526,0.365,0.08643996247392527,0.01,7524.45
2026-09-10T23:33:43+00:00,2026,1,2026-09-10,8,00-0032775,rec_yd,kalshi,15.0,0.37,0.4426733553440747,0.365,0.07267335534407471,0.01,6050.92
2026-09-10T23:33:43+00:00,2026,1,2026-09-10,9,00-0026498,pass_yd,kalshi,325.0,0.18,0.2505406290647961,0.175,0.07054062906479613,0.01,24092.0
2026-09-10T23:33:43+00:00,2026,1,2026-09-10,10,00-0037840,rush_yd,kalshi,80.0,0.23,0.2987940495649035,0.225,0.06879404956490351,0.01,4478.36
2026-09-13T14:18:44+00:00,2026,1,2026-09-13,1,00-0038559,rec_yd,kalshi,45.0,0.45,0.6490197221106588,0.44,0.19901972211065883,0.02,7177.0
2026-09-13T14:18:44+00:00,2026,1,2026-09-13,2,00-0038117,rec_yd,kalshi,80.0,0.14,0.32817065207655444,0.135,0.18817065207655442,0.01,5119.0
2026-09-13T14:18:44+00:00,2026,1,2026-09-13,3,00-0030279,rec_yd,kalshi,25.0,0.55,0.7329963146974056,0.535,0.18299631469740552,0.03,18617.0
2026-09-13T14:18:44+00:00,2026,1,2026-09-13,4,00-0040583,rush_yd,kalshi,70.0,0.09,0.2675935603294469,0.085,0.17759356032944693,0.01,2476.0
2026-09-13T14:18:44+00:00,2026,1,2026-09-13,5,00-0036259,rec_yd,kalshi,50.0,0.16,0.3353368585073742,0.15,0.1753368585073742,0.02,4758.0
2026-09-13T14:18:44+00:00,2026,1,2026-09-13,6,00-0039847,rec_yd,kalshi,40.0,0.16,0.33287161913230134,0.11,0.17287161913230134,0.1,2233.0
2026-09-13T14:18:44+00:00,2026,1,2026-09-13,7,00-0039901,rec_yd,kalshi,40.0,0.15,0.3169852457778984,0.135,0.1669852457778984,0.03,4922.0
2026-09-13T14:18:44+00:00,2026,1,2026-09-13,8,00-0039847,receptions,kalshi,2.0,0.52,0.685873750649265,0.505,0.16587375064926502,0.03,5978.19
2026-09-13T14:18:44+00:00,2026,1,2026-09-13,9,00-0036259,receptions,kalshi,3.0,0.37,0.5257083933933127,0.365,0.15570839339331266,0.01,8039.0
2026-09-13T14:18:44+00:00,2026,1,2026-09-13,10,00-0033119,pass_yd,kalshi,300.0,0.13,0.28475148697901626,0.115,0.15475148697901625,0.03,9035.44
